title,url,amount,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7
The Economic Benefit of Placemaking,http://newschallenge.tumblr.com/post/25546295349/the-economic-benefit-of-placemaking,500000,Map the value of different land-use patterns to demonstrate how place-based communities produce more revenue than conventional sprawl pattern development.,"The project will present obscure data in an easy-to-understand way that clearly illustrates the value of urbanism. Much in the way people gauge the efficiency of cars via MPG ratings, a similar value terminology will be produced to help communities articulate the benefit of place-based development versus placeless sprawl-pattern development.","Our project will take already available, but hard-to-find, data from public agencies and make it widely available to community stakeholders in a jargon-free, easy to understand manner.","Our work will showcase value-measuring data, such as value per acre comparisons between development types, to help broker policy solutions and establish common measures for communities looking to build places of lasting value. Our work will empower communities to make evidence-based decisions on development and tax policy, rather than relying on emotionally charged political arguments to solve community issues. Urban3, the team behind the data project, conducted similar studies for the City of Billings, Montana. The data Urban3 presented moved the City to adopt a formal resolution of “infill first” development before any further suburban annexation can occur.   ","The Congress for the New Urbanism is the nation’s leading advocacy organization promoting walkable, mixed-use neighborhood development, sustainable communities and healthier living conditions. CNU has effectively changed the way we talk about and plan our communities and has a history of silo-busting, making community design more accessible to decision-makers across disciplines. Joseph Minicozzi and Urban3 (U3) have developed an award-winning analytic method and communication style that public and private agencies and municipalities have used. U3‘s work has been covered from the Wall Street Journal to the Center for Clean Air Policy.","Urban3 produced case studies in 17 cities in 8 states, which all validate the hypothesis that community value and revenue are greater in place-based areas. For instance, U3’s work in Asheville, North Carolina proved renovated historic buildings are producing over 800 times more community tax revenue per acre for the city than an acre of big box retailer in placeless sprawl on the city’s edge. Saving historic buildings and helping downtown renovation produces more local wealth and reinforces placemaking. The existing study method and community story will be the genome of the model to be replicated on a larger scale.","The team will analyze property values in the communities that are part of the Knight Foundation’s Soul of the Community project to complement the project’s findings. U3 and CNU will compile the findings into an online database, serving as a repository to help communities develop long-lasting, economically vibrant places.",The potential exists for the public and private sectors to provide the funding to sustain and expand the project after the Knight Challenge funds expire. Cities looking to enact pro-urban policies and private developers looking to secure financing could hire U3 and CNU to conduct value analysis in their communities.
Data-driven Democracy,http://newschallenge.tumblr.com/post/25546293877/data-driven-democracy,0,Enable interactive web access for new audiences to 38 years of detailed data on the state’s 566 municipalities.,"The project will restructure an existing database of demographic, political and education information now organized by legislative district, and will facilitate access by citizens and media for understanding and analysis. Augmented with maps and tables, the restructured, web-enabled database will open a window to the state’s municipalities for new audiences.  ","A spiral-bound tome with limited distribution will become an internet-based source of information with worldwide access.  New presentation elements align data by municipalities, and add statistics on public safety, employment.","It will work because it uses the Legislative District Data Book database, published by Rutgers University for the past 38 years, as the foundation.  It will transform information from its current focus on legislative districts (state and federal) to a focus on municipalities.  Web accessibility will expand the previous target audience from legislators to new populations including: news media, citizens and locally elected officials.  Moreover, protocols for acquiring data exist to support adding the new topics and enhancing others (e.g. housing, poverty, employment).  The technology tools exist to deliver the data interactively.","Rutgers University’s Center for Government Services has four individuals working on the LDDB: a retired professor emeritus, a full-time research assistant, 20% of a faculty member and 20% of a department administrator.  All of them are responsible for collecting, verifying, and organizing the data in the LDDB.  In addition, consultant staff is utilized in the database management, design, validation and verification processes.","The 38 years of published LDDB data is stored in a database today, and will be converted to a web accessible format.  The protocols and format for data collection are established and municipal and county data are available via legislative district segmentation.  Data sources exist for the new information proposed to be added with this expansion.  The data was previously produced and distributed in print and on CD, and is used by statewide news media  and libraries in addition to the legislature.  An initial design for the interactive database is underway.  ",Funds will allow creation of:  new data structure; movement of the database to a web-based platform;  the addition of new data sets and additional presentation elements (by municipality); and interactive capability with simplified visuals through maps and tables. We will augment our staff with external consultants for the work.,"We currently staff and maintain the project, and will use our existing resources and continue charging fees for printed materials of the Legislative District Data Book.  Municipal data created by this project will be made publically available at no charge for non-commercial use.  "
OurSchool: A Platform for Smart School Reform,http://newschallenge.tumblr.com/post/25546292388/ourschool-a-platform-for-smart-school-reform,0,"Launch interactive, bilingual platform to promote and accelerate school-family-community leadership around empirically-based action model for strengthening public schools. ","In a sea of school data, OurSchool Platform will zero in on leverage-point data, best practices and change strategies. The platform will deliver clear content through an interactive, seamless, bilingual (Spanish-English) platform that Local Action Teams can use to assess contexts, develop action plans, and benchmark and measure results.  ","Existing databases emphasize accountability or school selection, not partnership and action to improve schools. Our project delivers data around a tested action model, via a platform that enfranchises partners. ","The portal we designed for Texas has been used in over 100 sessions and three geographic regions as the centerpiece of regional planning. In communities such as Socorro ISD, a predominantly Hispanic district in El Paso, parents used the portal to identify weaknesses in the high school math program, then conducted surveys that located problems in pedagogy, class size and remediation. With this information, school officials revised professional development priorities and local remediation policies. Success has been replicated in other communities. The portal tested well with focus groups with families; usergroups.com and assessment by graduate students in UT-Austin’s IT programs.","The platform design team is led by Dr. María Robledo Montecel, a national expert in school system reform, with a doctorate in research and evaluation from the Urban Education program at the University of Wisconsin, Milwaukee, and includes: Dr. Abelardo Villarreal, director of IDRA’s national field services programs, and former director of the Regional STAR Center, which innovated technology for service delivery in schools; Mr. Hector Bojorquez, developer of IDRA’s OurSchool Portal, with expertise in bilingual education, and interactive data and portal design; Ms. Laurie Posner who manages technology integration at IDRA, with an emphasis on networks and engagement strategies.","The OurSchool Portal has already been built as a bilingual stand-alone tool, providing data on every Texas secondary school, survey tools, and an “ourschool portfolio” to track and share data. Data is being added that links high school preparation, college readiness and participation. It is built on a scalable open-source LAMP (Linux, Apache, MySQL and PHP) platform, chosen for the relative ease of upgrading and the low cost of maintenance. The portal also uses CakePHP and JQuery. Tools and resources on best practices have already been produced, including award-winning podcasts, articles, videos and tested guides. ","Funds will support increasing interactivity and development from a Texas based portal to a scalable platform.  Interactivity will include benchmarking user-defined goals, collaboration tools and video sharing. Platform development will allow users to populate their portal with data from state databases to provide comprehensible information framed through IDRA’s change model.","Use of the platform will be integrated into the IDRA’s organizational work with school districts and CBO capacity-building, including technical assistance through IDRA’s federally-funded South Central Collaborative for Equity, serving a five state region and through foundation-funded initiatives in Texas and other states. "
CASH Music - an open music platform that gives artists access to and control of their own data.,http://newschallenge.tumblr.com/post/25546290898/cash-music-an-open-music-platform-that-gives-artists,285000,"Give musicians access and ownership of their data. Making it portable, making trends visible, and driving promotion with insight.","Musicians rely on knowing their fans, but are currently forced to use many closed systems to interact with that audience. We’re building an open platform for music promo, sales, and distribution that can interact with those services and serve as a central and permanent home for their data.","Our code’s open source, both hosted or downloadable. Data between instances will be secure but fully portable, with federated systems opening new possibilities to artists and the ecosystems around them.","It’s time for change in the music industry, and our effort is being led by artists. By focusing on an open technology platform, this is a data-driven attempt by musicians to control their own futures. We aim to move music promotion from the realm of intuition to science by helping musicians to deeply know their audience, set goals for campaigns, and determine their success with concrete metrics. By providing tools as well as plugging into third party services the CASH platform will continue to offer musicians choice while giving them the ability to control and understand their digital presence.","Maggie Vail and Jesse von Doom are the co-Executive Directors of CASH Music. Both have extensive music industry experience and deep connections to working musicians. CASH is part of Mozilla’s WebFWD program and is led by an amazing board including Dave Allen, Anthony Batt, Jonathan Coulton, Tishaun Dawson, Leslie Hawthorn, Kristin Hersh, Dick Huey, Zoë Keating, Nick Palmacci, Eric Steuer, Tobi Vail, and Emily White. With a vast network of artist and label members the CASH platform is being built not just for but by musicians.","We’ve built and released the first version of our platform, downloaded over 2500 times in the first three months since release. The infrastructure is in place and we’re capturing analytic data for all public interactions — our platform has been used by musicians for email capture, to pull in feeds, and even to release albums. We’re currently working hard on making the experience easier and more intuitive for musicians, including JavaScript embeds to make publishing promotions easier. This includes a PHP installer, developer docs, tooling, a core framework, and a robust admin web app.","The main data efforts lie with portability, publishing, and analysis. Portability issues include finalizing the data export/import as well as securing the federation model. For analytics we’d provide in-platform data visualizations, trends, and insights. As a nonprofit we’d publish anonymized data from the hosted platform for industry analysis. ","As we gain more members we’ll offer paid value-add components to the hosted version of the platform — like payment processors, hosting options, or encoding services that would be unavailable to individuals. Those plus other offerings like service discounts will be part of a paid-tier membership in the organization."
The Music Stock Market Project,http://newschallenge.tumblr.com/post/25546289511/the-music-stock-market-project,45000,Enhance the collection/presentation of data from sources across the web for use as a tool to teach students financial literacy.,"Entertainment data is overwhelmingly abundant, but yet provides little value and does not really facilitate action to improve young users’ lives. Our project collects and presents entertainment data in a unique manner- offering action on otherwise trivial data, while simultaneously training financial literacy – a critical life skill.",Alternatives use boring analytics and real world stock simulations - complex and uninteresting to students. We manipulate our data to educate/transform entertainment news seekers into future business news seekers.,"Already proven to organize data for straightforward teaching, the strength of our program lies in our ability to teach financial literacy to students in a manner they understand and find interesting (ie. music/entertainment). Students want financial skills; however they are often overwhelmed by the difficult vocabulary and large amounts of data involved. By enhancing our data collection abilities and making our existing data archive more dynamic and interactive, we will have a stronger, more accurate, and more useful tool for facilitating the hands on learning approach of financial skills.","Sherif Balogun (Co-founder)  A West African native who graduated from Coral Gables Senior High at age 16, he currently majors in International Business and Finance at FIU, and works in the sports and entertainment industry. Adam Blaire (Co-founder) A Miami native and accounting graduate from FIU, he currently holds a CPA license and works for a national public accounting firm. The company also employs multiple staff and contractors. Additionally, the organization manages various journalism internships to develop student writers, allowing them to cover entertainment news from a financial perspective – using data to create reporting that is by- students-for-students.","The fantasy stock market system is already operational (www.musicstockmarket.com). Additionally, we have a virtual classroom environment that is currently deployed in high school classrooms. We also maintain a network of student news writers and have already accumulated years of data into our existing archive. We have already programmed a limited php (cron) which collects data used for our stock price system, currently from just one source: Google trends.","= $45,000 (1) Create an independent daemon (cron) in C++ to collect data from unlimited sources across the web, and then algorithmically process collected data to implement into our stock price system. (2) Technical upgrades to make our expanding data archive dynamic and visually graphical for users to interactively search/manipulate.",The open-sourced daemon will be copied into our already sustained educational program - which will continue to use its own existing capital and revenue. Exposure and contacts gained during this process will prove more valuable than money by allowing us to develop long- lasting partnerships following the expiration of the funds.
Toxic Dumpsites,http://newschallenge.tumblr.com/post/25546288001/toxic-dumpsites,0,"A website focusing on three geographical areas of the country: the River Valley High School area in rural Marion, Ohio; the affluent Spring Valley neighborhood in Washington, D.C.; and the Niagara Falls neighborhood of Lewiston, N.Y. I plan to oversee the creation of a multi-media website that tells the story of the Defense Environmental Restoration Program and the corresponding health (cancer) statistics now available for those areas.","It will map and diagram locations of toxic waste that have been found at those sites, provide a historical context to the waste and provide a vehicle for imagry. In addition, an overlay map will be created to view cancer clusters studied in these areas.","Progress of the Defense Environmental Restoration Program (DERP), overseen by Congress, is well-hidden. Because I’ve followed this program for nearly 15 years, I know how to read and interpret the maps and research coding the work (or waste) at these sites. This is difficult for those who have no experience with it. Therefore, this website will be an intermediary provider of information between government wonks and the public.  ","This website would make it easy for anyone, in any of the above locations, to find historical data regarding the DERP site, its clean-up status and health risks for people who reside there. (Many other communities across the country are listed on the Army Corps’ DERP program, but residents in most locations are unaware that their homes, parks and schools may sit on tainted grounds where chemicals and other debris from past wars may still be buried.) It is difficult for communities to get news and information about DERP sites, from the beginning when community members discover that such a site exists in a community to the end, when the environmental clean-up is completed. Long-term news coverage of DERP sites is nonexistent. It is only when a community discovers that such a site exists that it becomes controversial and is covered by the local, traditional news media. The peak of coverage occurs during its most controversial point and then it tapers off and local residents are left to wonder about the status of the environmental clean-up involved. The project will provide consistent, ongoing coverage of these sites.",R.S. Rock Media and affiliates.,Initial research has been done. Technology will follow.,"Environmental Toxins Estimated Budget (15 months/$150,000)   Project oversight:                                $30,000* Website technical and creative:         $20,000 Research/Content creation:                                   $30,000* Photography/video:                              $30,000* Marketing:                                              $15,000  Estimated taxes due:                               $25,000   Total:                                                   $150,000","It would be our goal to build and expand this website beyond the 15 months of Knight funding and the three communities that will initially be involved. To do so, from the very beginning of this project we will actively seek additional grant funding from other foundations that support the media and/or environmental research. To build the website’s geographic coverage area, we plan to form partnerships with affected communities and the traditional media outlets in those communities across the country that are affected by DERP sites. In the future, there would be a couple of business models we would explore. One goal, of course, could be to create a nonprofit organization which involves the website. Another would be to establish the project as an independent private environmental media company."
Know Your Neighborhoods,http://newschallenge.tumblr.com/post/25546286285/know-your-neighborhoods,240000,"Build a local data-powered news platform: automatic narrative for readers, and a reporter’s dashboard identifying opportunities for deeper coverage.","At many smaller newspapers, it’s rare to find reporters with the time and training to dig stories out of local data. This platform would automatically generate local news items for neighborhood readers, then tip off a reporter to what deserves extra narrative or investigation.","There are news platforms that leverage local data. We aren’t aware of any that combine automatic narrative with a dashboard to guide human reporting and community-building, on a local level.","There is great interest in data journalism right now, as evidenced by a vibrant news developer community and attendance at IRE/NICAR conferences. Projects like Homicide Watch show that small teams can do great things. The team in Spokane knows rapid CMS development and data journalism, having built the paper’s digital platforms from the ground up. As an editor at a family-owned newspaper, I can make this project a priority. Participation in the Knight-funded PANDA Project has provided a guide for successful iteration on a project like this, and the reporter we have in mind would provide critical community-building expertise.","The team at The Spokesman-Review will continue developing the platform and relationships necessary to feed it with data, and identify a reporter to lead local coverage. We have relationships with developers at other organizations who have expressed interest in contributing to the project, ensuring that the final product is useful to others. We think this project is a necessary experiment toward proving automatic narrative plus human reporting can turn local data into valuable journalism, even where communities are small and resources are thin.","The team at The Spokesman-Review has developed many local data apps, as well as a site framework applicable to this project. We’ve launched a local instance of the excellent Boundary Service project, providing the geographical underpinnings this would require. We continue to pursue and develop relationships with those who would be our sources of civic data. Other necessary components already exist in the open-source and news-developer communities. The crime reports developed by the L.A. Times Data Desk, for example, provide a template for auto-generated narrative.","To hire a developer and a reporter for a year to prove this platform can produce valuable local journalism. Smaller amounts would go toward promotion, training, and design. We envision six months of initial development, six months of reporting and development, then six months more with the dedicated reporter.","We would seek to continue staffing the local platform with a reporter. Because the code running it will be open-sourced, we would also work with other organizations to help them customize the platform for their communities, based on the data available to them."
Riverkeeper Water Quality Data Website,http://newschallenge.tumblr.com/post/25546284771/riverkeeper-water-quality-data-website,,,,,,,,,
Democratizing Climate Change: Demystifying the Data,http://newschallenge.tumblr.com/post/25546280010/democratizing-climate-change-demystifying-the-data,500000,"Empower the public by making usable and locally relevant, all U.S. climate data and all global climate change model projections. ","We will transform incomprehensible mountains of raw data and impenetrable models into usable knowledge for the public. Our tools will emphasize data visualization designed to let people see how their climate has changed already, and how future droughts, heat, floods, storms, hurricanes and more are projected to impact their communities.","No one has ever attempted this before. Although climate data and models are currently available to the public they are in raw form that is not usable by anyone except computer programmers and statisticians. We will unlock the power of the information by developing the tools needed to visualize how global warming will change every region of the world. Unlike all previous attempts to communicate climate science, we will thoroughly democratize the data and the experience. In the process, we will transform the average person’s feelings about climate change from something abstract and remote, to something personal and meaningful. ","The project will work because it is technically feasible, is based on the best available science, is completely transparent, and is designed to engage the user. It will work because Climate Central is uniquely qualified to do the work; we have the combination of climate scientists, data visualization specialists and communications experts necessary to conceive and execute the wide range of tasks the project demands. Overall the project will succeed because we will make it clear how climate change has, and will, affect people personally in places and timeframes they care about.","Scientists are constantly gathering new climate data and building new climate models, but no one is currently translating climate model results into something meaningful to the average person, where they live. Climate Central routinely analyzes historic temperature and precipitation statistics (climate data), and we have the unique in-house capacity to produce media-ready local climate content based on this information. As far as we know, only Climate Central uses climate data to produce a steady stream of local climate change research and news products for local TV stations across the country. ","Our staff currently includes IPCC contributing authors (climate scientists, statisticians) who are fluent in the details of the observed climate record and the climate models used to project future impacts, as well as former Weather Channel on-air and production talent experienced at communicating climate change to a broad audience. We have already built the capacity to analyze datasets containing millions of observed temperature and precipitation records, and to produce media-friendly research products that reach millions based on this information. We routinely analyze these data to produce original, local, climate content and graphics for TV meteorologists in 17 U.S. markets. ","To hire the additional programmers, data visualization techs, and web developers needed to execute the project in collaboration with our current team of scientists and communications specialists.",Core support from The Knight Challenge would allow us to launch the program and secure additional support to sustain and expand the program after the end of the funding cycle. 
CrowdVoice.org,http://newschallenge.tumblr.com/post/25546278235/crowdvoice-org,150000,"Develop user-powered, open-source platform tracking voices of protest by curating/contextualizing data to empower activists and raise awareness regarding movements worldwide.","Curate, contextualize, and archive data from citizen journalists in a digestible way and tailored to meet the needs of various audiences. Maintain statistics for abuses in each country. Automate powerful information delivered using educational info-graphics and accessible designs to elevate understanding of global struggles and explore nuances of each movement.","Data-collection websites lose information to Internet noise. CV preserves voices and offers a platform for engagement, citizen journalism, and free expression, fulfilling information needs by contextualizing and painting vivid pictures.","In addition to its unique, open-source platform, meaningful content curating, contextualization, and relationship/network building, CV is strongly positioned to succeed for building a single platform that fulfills needs of various audiences is rare. Synthesizing and providing information/education to various audiences in a digestible way affords the international community a way to support movements. The sheer amount of data emerging from movements worldwide makes imperative the preservation, translation, and amplification of voices across all digital realms in a meaningful, provoking way. Several prominent platforms/organizations have expressed interest in using CV’s API to power their own reporting, updates, and human rights networks.","CV staff includes Esra’a Al Shafei (Director), Navid Safa (Developer), and Mana Sadat (Content Manager). Esra’a Al Shafei is Founder/Executive Director of Mideast Youth, Senior TED and Echoing Green fellow, and recipient of Harvard Law’s 2008 Berkman Award for Internet Innovation. Navid Safa has worked with Storify, as well as with Yahoo! Mail to develop an iPad application. Mana Sadat has directed social media, network building, and content development for various non-profits, including Amnesty International’s Middle East/North Africa department. The community built over the last two years will also continue to contribute, moderate, and assist in driving the user-powered platform. ","CV was designed and launched in June 2010. Currently, CV includes the platform, the capability for individuals to upload media and data, as well as the capacity for everyday users to assist in moderating and verifying content. A new timeline feature was employed to allow users to sort through content by dates, years, or time periods. Users can also create, manage, and meaningfully organize subject matter related to their region’s struggles. (The newest user-created section, for example, highlights the democratic deficiencies in Mexico’s recent elections.) This feature helps build connections between movements and cultivate relationships between those enduring similar struggles. ","Funds will help further develop a timeline feature and geographic features allowing users to search material by dates, years, or time periods, providing a visualization of movements worldwide. Funds would help re-design the platform to share data synthesis and a country’s abuse statistics in a digestible, clear, and maneuverable way. ","CV will sustain itself by providing customizable solutions to organizations/businesses. Despite being open source, various clients have expressed interest in the platform, requesting tweaks/additional features to fit its needs. Funding is partly generated by providing fee-based design/development services. Many costs associated with CV’s development have been offset using this model. CrowdVoice.org Concept"
Open Grants,http://newschallenge.tumblr.com/post/25546273420/open-grants,,Create software that collects budgetary information from grant proposals during the application and post implementation phase.,"The collected data will be presented through visualizations and infographics on a central website as well as being available to developers through a programming interface. Open Grants would consist of a suite of web tools: budget manager, data visualizer, and a web service for programmers.","Grant organizations might have their own internal tools for measuring effectiveness, but a transparent and open source system does not.  This project would allow the aggregation of data from many organizations into one coherent system.","Governments around the world are implementing open data strategies to increase transparency, participation and efficiency and it is commonly accepted that these strategies strengthen citizen engagement. Initiatives like Data.gov are widely used by news organsiations to present reliable information of how our governement spends their money. On a local level, several organisations like Oakland Crimespotting# are reusing public sector information through APIs to inform their communities. This project proposes to establish an easy to use framework that will allow aid organizations to organize financial information in a reusable manner.","Clay Ewing, Assistant Professor of Interactive Media/Games at University of Miami Kim Grinfeder, Associate Professor of Visual Journalism at University of Miami Alberto Cairo, Lecturer, University of Miami","Nothing yet, but we have a good amount of experience in what we are proposing to build.","All of the funds would go towards focus groups of subject matter experts (grant writers,makers, etc) and research assistants to help mull over existing data that would be collected.","The software would allow for the community to keep making visualizations after all the coding is completed.  Organizations that implement the software would also continue to contribute to a growing data set for every grant.  If this project is executed properly, it will sustain itself."
OurSchool: A Platform for Smart School Reform,http://newschallenge.tumblr.com/post/25546269648/ourschool-a-platform-for-smart-school-reform,0,"Launch interactive, bilingual platform to promote and accelerate school-family-community leadership around empirically-based action model for strengthening public schools. ","In a sea of school data, OurSchool Platform will zero in on leverage-point data, best practices and change strategies. The platform will deliver clear content through an interactive, seamless, bilingual (Spanish-English) platform that Local Action Teams can use to assess contexts, develop action plans, and benchmark and measure results.  ","Existing databases emphasize accountability or school selection, not partnership and action to improve schools. Our project delivers data around a tested action model, via a platform that enfranchises partners. ","The portal we designed for Texas has been used in over 100 sessions and three geographic regions as the centerpiece of regional planning. In communities such as Socorro ISD, a predominantly Hispanic district in El Paso, parents used the portal to identify weaknesses in the high school math program, then conducted surveys that located problems in pedagogy, class size and remediation. With this information, school officials revised professional development priorities and local remediation policies. Success has been replicated in other communities. The portal tested well with focus groups with families; usergroups.com and assessment by graduate students in UT-Austin’s IT programs.","The platform design team is led by Dr. María Robledo Montecel, a national expert in school system reform, with a doctorate in research and evaluation from the Urban Education program at the University of Wisconsin, Milwaukee, and includes: Dr. Abelardo Villarreal, director of IDRA’s national field services programs, and former director of the Regional STAR Center, which innovated technology for service delivery in schools; Mr. Hector Bojorquez, developer of IDRA’s OurSchool Portal, with expertise in bilingual education, and interactive data and portal design; Ms. Laurie Posner who manages technology integration at IDRA, with an emphasis on networks and engagement strategies.","The OurSchool Portal has already been built as a bilingual stand-alone tool, providing data on every Texas secondary school, survey tools, and an “ourschool portfolio” to track and share data. Data is being added that links high school preparation, college readiness and participation. It is built on a scalable open-source LAMP (Linux, Apache, MySQL and PHP) platform, chosen for the relative ease of upgrading and the low cost of maintenance. The portal also uses CakePHP and JQuery. Tools and resources on best practices have already been produced, including award-winning podcasts, articles, videos and tested guides. ","Funds will support increasing interactivity and development from a Texas based portal to a scalable platform.  Interactivity will include benchmarking user-defined goals, collaboration tools and video sharing. Platform development will allow users to populate their portal with data from state databases to provide comprehensible information framed through IDRA’s change model.","Use of the platform will be integrated into the IDRA’s organizational work with school districts and CBO capacity-building, including technical assistance through IDRA’s federally-funded South Central Collaborative for Equity, serving a five state region and through foundation-funded initiatives in Texas and other states. "
Compensation Foundation,http://newschallenge.tumblr.com/post/25546267852/compensation-foundation,120000,"Create a platform for collecting, sharing and analyzing how cultural producers are compensated.","Compensation Foundation’s flexible, user-generated database and APIwill enable individuals, organizations, and developers to: Share and utilize data related to cultural producers’ compensation Access data outside their personal network and easily identify industry-wide as well as specialty-specific norms. Foster an environment where standards and best practices can emerge and spread.","The creative world pays predominantly via fees, stipends, grants, and alternative forms of compensation rather than salaries.  We have not found any centralized resources that provide access to this information.  ","Within the creative community, there is a strong desire to collect and share this information.  Everyone has a few data points: their unpaid gig at a noteworthy publication, their colleague’s stipend for performing at a local museum, the payment for 10,000 songs plays on Pandora.  This information is vital in order for peers to evaluate new opportunities, understand the viability of career paths, and to allow for organizations to be confident in the fairness of the rates they offer.   A centralized, anonymous, and open access point will provide a foundation for a new type of accountability and transparency.","Eleanor Hanson Wise and Oliver Wise of The Present GroupExploring how the internet can facilitate collective action and decision making in support of the arts, their projects range from an art subscription service and a web hosting service that funds a democratically awarded arts prize, to Art Micro Patronage, an experimental exhibition space encouraging criticality and patronage for artists who work online.  Oliver has over 6 years experience as a web developer specializing in backend architecture and database design.Andrew and Lauren Venell of Burning House Design.Interested in the crossroads between design and art, our design partners will bring a combined 15 years of experience to the development of the user experience, branding, and visual analytic tools.  ","The Compensation Foundation will be the centerpiece of a larger project starting in the Fall of 2012.  “Show Me the Money” is a project aimed at getting artists, writers, organizations, businesses, and cultural producers of any kind to talk frankly about money - where it comes from, where it goes, and what we can learn from each other to create more sustainable ways of working.  While the database and analytic tools have not yet been built, the project, alliances, and interviews have already begun. We are in the process of building funding and putting in place promotional partnerships for the project as a whole.","to design and develop a flexible and intuitive online database for cultural producers to create a peer-verification system to help validate the data to build a RESTful JSON API to access the database to develop visualization and analytic tools to cover administrative costs associated with partnerships, marketing, and user relations","Ideally, the Compensation Foundation will be sustained by a combination of grants, partnerships, and donations from its users. However, additional fee-based services will be considered (e.g., if large-scale commercial use of the data begins, we could license the data while keeping it free for everyone else.)"
minhacidade.me - helping to build a better place to live ,http://newschallenge.tumblr.com/post/25546265260/minhacidade-me-helping-to-build-a-better-place-to,20000,"We are developing a website where users can visualize public data of their own cities in a simple, easy and enjoyable way. We use open data from public and governamental databases to create interactive ludic data visualizations. ","Our project will enhance the way of people interact with public data and information. Our desire is that our platform can expand the political and social engagement of users. In our mind, create ways to facilitate understanding of those public data is more important than just put them online. When people can interact, compare, use and share those data, they improve the vision about their cities and country. Everyone can help build a better place to live. ","Some online newspapers and magazines are doing some data visualization, but they don’t have only focus on public data and neither a unique plataform for it. It’s confused and hard to find them on those websites. Our differential is to be more ludic, interactive and useful than other websites. On minhacidade.me people can interact with public data visualization, read news (tweets, blog posts etc) and share ideas with friends… Everything at the same place with just two or three clicks.  ","At this time, in Brazil, people are anxious for a government more efficient and less corrupt. So, we think that is a great tool to help people on this problem.  As we said before, we are creating a different easy way to people interact with public data. It’s a great tool to engage people with politics and to try to build with their friends a better place to live. Beside that, users can read news, blog posts and tweets (hyperlocal news) about their city and share ideias (solutions, mistakes, new information etc) with their friends at the same place. So, we think our platform can be useful and rich for everyone (citizens, government and private sector).","At this moment, our team is small, but with great passion on it.  Diego Sieg - working as an product manager & data developer journalist. Leonardo Zem - working as a designer & UX. Eduardo Rabelo - working as a front-end engineer (html5, css3, javascript, jquery, raphael.js, highchats etc). Rafael Soares - working as a back-end engineer (building our crawlers, databases, data scrapers, scripts etc - using php, python, ruby, mySQL etc). ","We have launched our splash-page: http://minhacidade.me to spread our idea/product and to collect some metrics about users. Beside that, the main website is almost done <http://eduardorabelo.com.br/projetos/chaostheory/minhacidademe/alpha/>. We’ve already developed some web crawlers and data scrapers. Those crawlers have already collected more than 40GB of raw data about social subjects (of São Paulo city), like crimes, health, education etc. At this moment, we are working on filtering the data. The next step will be on creating some visualizations to a alpha version of the platform.","We intend to use News Challenge funds to enhance our development (more product/value in less time) — hiring one or two new ninjas developers, invest more funds to study and to improve the team skills, invest in new equipments/structure, invest more funds to try to find a more viable and sustainable business model etc.","Our goal is to develop an algorithm able to analise the whole data of the platform (public data + social data), to extract patterns and knowledge from it (data mining process). Our ideia is selling these “patterns and knowledge” as business intelligence solutions to private companies, governamental groups and business people. Beside that, with our accumulated knowledge, we intend to sell some personalized data visualizations for media companies and others private companies."
